ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,AGE_GROUP,INJ_LEVEL,ROAD_USER_TYPE_DESC
T20120001161,1/16/2012,17:30:00,1,Collision with vehicle,2,Monday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,273336,2,0,0,1,1,2,2,5,Not at intersection,3,999,Arterial Other,16-17,Other injury,Bicyclists
T20120001165,1/16/2012,17:40:00,8,No collision and no object struck,2,Monday,170,OFF CARRIAGEWAY TO LEFT,1,45291,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other,50-59,Serious injury,Bicyclists
T20120001185,1/17/2012,7:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,65712,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other,30-39,Serious injury,Bicyclists
T20120001187,1/16/2012,8:10:00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,40130,2,0,0,1,1,2,1,2,T intersection,3,40,Local Road,26-29,Other injury,Bicyclists
T20120001209,1/16/2012,16:55:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,38922,2,0,0,1,1,2,2,2,T intersection,3,60,Arterial Other,30-39,Other injury,Bicyclists
T20120001244,1/17/2012,17:00:00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,273347,2,0,0,1,4,5,1,5,Not at intersection,3,50,Arterial Other,30-39,Other injury,Bicyclists
T20120001271,1/18/2012,9:05:00,1,Collision with vehicle,4,Wednesday,140,U TURN,1,273353,2,0,0,1,1,2,1,4,Multiple intersection,3,50,Arterial Highway,30-39,Other injury,Bicyclists
T20120001275,1/18/2012,6:55:00,1,Collision with vehicle,4,Wednesday,111,RIGHT FAR (INTERSECTIONS ONLY),1,50652,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120001306,1/18/2012,16:30:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,249124,2,0,0,1,1,2,1,5,Not at intersection,3,888,Local Road,50-59,Other injury,Bicyclists
T20120001391,1/17/2012,7:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,40782,2,0,0,1,1,2,2,2,T intersection,3,60,Arterial Other,50-59,Other injury,Bicyclists
T20120001410,1/19/2012,17:55:00,1,Collision with vehicle,5,Thursday,140,U TURN,1,36367,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120001421,1/19/2012,22:40:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,3,36264,2,0,1,0,3,4,1,1,Cross intersection,2,60,Arterial Other,18-21,Serious injury,Bicyclists
T20120001431,1/20/2012,7:30:00,1,Collision with vehicle,6,Friday,119,OTHER ADJACENT (INTERSECTIONS ONLY),1,1060,2,0,1,0,1,2,1,2,T intersection,2,50,Arterial Highway,40-49,Serious injury,Bicyclists
T20120001452,1/20/2012,9:10:00,1,Collision with vehicle,6,Friday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,35838,2,0,1,0,1,2,1,2,T intersection,2,50,Local Road,40-49,Serious injury,Bicyclists
T20120001479,1/18/2012,17:00:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,35364,1,0,1,0,2,3,1,1,Cross intersection,2,30,Local Road,30-39,Serious injury,Bicyclists
T20120001484,1/9/2012,1:30:00,1,Collision with vehicle,1,Monday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),6,273253,2,0,1,0,1,2,2,5,Not at intersection,2,50,Local Road,40-49,Serious injury,Bicyclists
T20120001496,1/20/2012,14:45:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,43554,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Other,70+,Serious injury,Bicyclists
T20120001504,1/20/2012,22:01:00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,5,249100,2,0,0,1,1,2,1,1,Cross intersection,3,60,Local Road,30-39,Other injury,Bicyclists
T20120001523,1/21/2012,11:30:00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,37419,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120001584,1/22/2012,9:17:00,1,Collision with vehicle,1,Sunday,132,RIGHT REAR.,1,41846,2,0,1,0,2,3,2,2,T intersection,2,70,Arterial Other,18-21,Serious injury,Bicyclists
T20120001586,1/22/2012,10:40:00,1,Collision with vehicle,1,Sunday,137,LEFT TURN SIDESWIPE,1,50368,2,0,0,1,2,3,2,1,Cross intersection,3,50,Uknown,50-59,Other injury,Bicyclists
T20120001620,1/22/2012,18:15:00,1,Collision with vehicle,1,Sunday,169,OTHER ON PATH,1,273417,2,0,1,0,0,1,2,5,Not at intersection,2,50,Local Road,13-15,Serious injury,Bicyclists
T20120001654,1/11/2012,8:45:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,48653,2,0,1,0,1,2,2,1,Cross intersection,2,60,Uknown,30-39,Serious injury,Bicyclists
T20120001663,1/23/2012,11:50:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,249066,1,0,0,1,0,1,1,5,Not at intersection,3,30,Local Road,22-25,Other injury,Bicyclists
T20120001665,1/23/2012,10:45:00,1,Collision with vehicle,2,Monday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,57610,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Other,30-39,Other injury,Bicyclists
T20120001670,1/23/2012,11:50:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,249073,2,0,1,0,1,2,1,5,Not at intersection,2,60,Arterial Highway,22-25,Serious injury,Bicyclists
T20120001708,1/23/2012,17:20:00,1,Collision with vehicle,2,Monday,143,ENTERING PARKING,1,249087,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120001719,1/22/2012,12:30:00,1,Collision with vehicle,1,Sunday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,273431,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Other,40-49,Other injury,Bicyclists
T20120001743,1/24/2012,8:12:00,1,Collision with vehicle,2,Tuesday,137,LEFT TURN SIDESWIPE,1,354268,2,0,1,0,1,2,1,5,Not at intersection,2,40,Local Road,30-39,Serious injury,Bicyclists
T20120001747,1/5/2012,19:30:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,65262,2,0,0,2,0,2,2,1,Cross intersection,3,40,Local Road,30-39,Other injury,Bicyclists
T20120001763,1/24/2012,8:30:00,1,Collision with vehicle,3,Tuesday,143,ENTERING PARKING,1,47658,2,0,0,1,2,3,2,2,T intersection,3,50,Local Road,50-59,Other injury,Bicyclists
T20120001778,1/24/2012,7:00:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,40843,2,0,1,0,1,2,1,2,T intersection,2,50,Arterial Other,50-59,Serious injury,Bicyclists
T20120001780,1/24/2012,12:35:00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,249181,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road,16-17,Other injury,Bicyclists
T20120001783,1/21/2012,12:00:00,1,Collision with vehicle,7,Saturday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,273408,2,0,0,1,1,2,2,5,Not at intersection,3,40,Local Road,30-39,Other injury,Bicyclists
T20120001787,1/24/2012,12:35:00,1,Collision with vehicle,3,Tuesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,53793,2,0,1,0,2,3,1,2,T intersection,2,60,Arterial Other,60-64,Serious injury,Bicyclists
T20120001794,1/24/2012,9:45:00,4,Collision with a fixed object,3,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,273457,1,0,0,1,0,1,1,5,Not at intersection,3,80,Uknown,50-59,Other injury,Bicyclists
T20120001797,1/23/2012,21:50:00,1,Collision with vehicle,2,Monday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),5,249191,2,0,0,1,1,2,1,5,Not at intersection,3,70,Arterial Other,40-49,Other injury,Bicyclists
T20120001818,1/24/2012,18:10:00,1,Collision with vehicle,2,Tuesday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,29840,2,0,0,1,2,3,2,1,Cross intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120001825,1/24/2012,18:34:00,2,Struck Pedestrian,3,Tuesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,249208,1,0,0,2,0,2,1,5,Not at intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120001830,1/24/2012,22:05:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,273445,1,1,0,0,0,1,1,5,Not at intersection,1,80,Arterial Other,60-64,Fatality,Bicyclists
T20120001853,1/25/2012,8:40:00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,41088,2,0,0,1,1,2,1,2,T intersection,3,60,Local Road,26-29,Other injury,Bicyclists
T20120001859,1/19/2012,8:30:00,1,Collision with vehicle,5,Thursday,143,ENTERING PARKING,1,249294,3,0,0,1,2,3,2,5,Not at intersection,3,50,Local Road,22-25,Other injury,Bicyclists
T20120001884,1/23/2012,17:00:00,6,Vehicle overturned (no collision),2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,249224,1,0,0,1,0,1,2,5,Not at intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120001888,1/25/2012,11:10:00,8,No collision and no object struck,4,Wednesday,170,OFF CARRIAGEWAY TO LEFT,1,273465,1,0,0,1,0,1,1,5,Not at intersection,3,60,Uknown,13-15,Other injury,Bicyclists
T20120001956,1/25/2012,16:10:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,54590,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Highway,40-49,Other injury,Bicyclists
T20120001960,1/25/2012,17:00:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,47426,2,0,0,1,2,3,1,1,Cross intersection,3,50,Arterial Highway,60-64,Other injury,Bicyclists
T20120001989,1/26/2012,18:00:00,1,Collision with vehicle,5,Thursday,143,ENTERING PARKING,1,249190,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120002038,1/26/2012,18:45:00,1,Collision with vehicle,5,Thursday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,249207,2,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,30-39,Serious injury,Bicyclists
T20120002073,1/27/2012,18:42:00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,273496,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,22-25,Other injury,Bicyclists
T20120002105,1/28/2012,5:30:00,1,Collision with vehicle,7,Saturday,113,RIGHT NEAR (INTERSECTIONS ONLY),2,50985,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120002106,1/28/2012,7:30:00,1,Collision with vehicle,7,Saturday,116,LEFT NEAR (INTERSECTIONS ONLY),1,50303,2,0,1,0,1,2,1,2,T intersection,2,50,Arterial Other,50-59,Serious injury,Bicyclists
T20120002110,1/23/2012,14:30:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,44629,2,0,1,0,1,2,2,2,T intersection,2,60,Local Road,40-49,Serious injury,Bicyclists
T20120002115,1/28/2012,9:50:00,1,Collision with vehicle,7,Saturday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,36831,2,0,1,0,1,2,1,1,Cross intersection,2,80,Arterial Other,50-59,Serious injury,Bicyclists
T20120002116,1/27/2012,17:50:00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,36968,2,0,0,1,2,3,2,1,Cross intersection,3,999,Local Road,30-39,Other injury,Bicyclists
T20120002120,1/26/2012,21:00:00,6,Vehicle overturned (no collision),5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,40111,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,26-29,Other injury,Bicyclists
T20120002129,1/28/2012,13:19:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,249262,2,0,0,1,2,3,1,5,Not at intersection,3,60,Local Road,13-15,Other injury,Bicyclists
T20120002156,1/28/2012,20:55:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,249272,1,0,1,0,0,1,1,5,Not at intersection,2,60,Local Road,45424,Serious injury,Bicyclists
T20120002182,1/26/2012,7:30:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,40020,2,0,0,2,0,2,2,2,T intersection,3,60,Local Road,40-49,Other injury,Bicyclists
T20120002189,1/26/2012,7:20:00,1,Collision with vehicle,5,Thursday,136,RIGHT TURN SIDESWIPE,1,44816,2,0,0,1,1,2,2,2,T intersection,3,70,Arterial Other,60-64,Other injury,Bicyclists
T20120002191,1/23/2012,15:30:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,45590,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,40-49,Other injury,Bicyclists
T20120002206,1/26/2012,11:45:00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE,1,1053,2,0,0,1,2,3,1,2,T intersection,3,60,Arterial Highway,50-59,Other injury,Bicyclists
T20120002232,1/30/2012,7:18:00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,249311,2,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other,50-59,Other injury,Bicyclists
T20120002251,1/30/2012,6:50:00,1,Collision with vehicle,2,Monday,116,LEFT NEAR (INTERSECTIONS ONLY),1,51233,2,0,0,1,1,2,1,1,Cross intersection,3,60,Local Road,30-39,Other injury,Bicyclists
T20120002263,1/20/2012,17:30:00,1,Collision with vehicle,6,Friday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,273394,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Highway,13-15,Other injury,Bicyclists
T20120002267,1/30/2012,14:15:00,1,Collision with vehicle,1,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,37865,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Highway,26-29,Serious injury,Bicyclists
T20120002279,1/30/2012,17:20:00,1,Collision with vehicle,2,Monday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,48376,2,0,1,0,1,2,1,2,T intersection,2,40,Local Road,26-29,Serious injury,Bicyclists
T20120002294,1/30/2012,17:30:00,1,Collision with vehicle,1,Monday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,249251,2,0,0,1,1,2,2,5,Not at intersection,3,999,Arterial Other,30-39,Other injury,Bicyclists
T20120002295,1/30/2012,20:30:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,37825,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,22-25,Other injury,Bicyclists
T20120002320,1/31/2012,7:25:00,1,Collision with vehicle,3,Tuesday,111,RIGHT FAR (INTERSECTIONS ONLY),1,29501,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,26-29,Other injury,Bicyclists
T20120002323,1/31/2012,8:05:00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,57501,2,0,0,1,1,2,1,2,T intersection,3,40,Arterial Other,30-39,Other injury,Bicyclists
T20120002337,1/24/2012,16:00:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,231,1,0,1,0,0,1,2,1,Cross intersection,2,40,Local Road,50-59,Serious injury,Bicyclists
T20120002391,1/31/2012,21:30:00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,3,29386,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Other,18-21,Other injury,Bicyclists
T20120002423,2/1/2012,7:00:00,1,Collision with vehicle,3,Wednesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,331821,2,1,0,0,1,2,1,4,Multiple intersection,1,80,Freeway,60-64,Fatality,Bicyclists
T20120002439,2/1/2012,7:45:00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,36258,3,0,0,1,2,3,1,1,Cross intersection,3,50,Local Road,22-25,Other injury,Bicyclists
T20120002447,2/1/2012,14:15:00,1,Collision with vehicle,4,Wednesday,111,RIGHT FAR (INTERSECTIONS ONLY),1,249384,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road,60-64,Serious injury,Bicyclists
T20120002450,2/1/2012,8:20:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,42190,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road,30-39,Other injury,Bicyclists
T20120002486,2/1/2012,17:55:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,41225,2,0,0,1,3,4,1,1,Cross intersection,3,50,Local Road,13-15,Other injury,Bicyclists
T20120002499,2/2/2012,7:15:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,252871,2,0,1,0,2,3,1,5,Not at intersection,2,50,Local Road,30-39,Serious injury,Bicyclists
T20120002509,2/2/2012,9:00:00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,223369,2,0,1,0,2,3,1,2,T intersection,2,50,Local Road,30-39,Serious injury,Bicyclists
T20120002521,2/2/2012,7:20:00,1,Collision with vehicle,5,Thursday,140,U TURN,1,249353,2,0,0,1,1,2,1,5,Not at intersection,3,50,Arterial Other,30-39,Other injury,Bicyclists
T20120002545,1/3/2012,13:00:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,249369,2,0,0,1,1,2,2,1,Cross intersection,3,50,Arterial Other,60-64,Other injury,Bicyclists
T20120002575,2/3/2012,8:24:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,29361,2,0,1,0,1,2,1,1,Cross intersection,2,40,Local Road,30-39,Serious injury,Bicyclists
T20120002576,2/3/2012,6:22:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,1,35626,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Highway,26-29,Other injury,Bicyclists
T20120002579,2/3/2012,8:30:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,1,57391,2,0,0,1,1,2,1,1,Cross intersection,3,40,Arterial Other,22-25,Other injury,Bicyclists
